Source;Target
Indonesia;Beras
Indonesia;Kopi
Indonesia;Jagung
Indonesia;Cengkih
Indonesia;Kakao
Indonesia;Karet
Indonesia;Kedelai
Indonesia;Sawit
Indonesia;Kentang
Indonesia;Ubi Jalar
Malaysia;Sawit
Malaysia;Karet
Malaysia;Beras
Malaysia;Lada
Malaysia;Kopi
Malaysia;Teh
Malaysia;Kakao
Malaysia;Kelapa
Thailand;Beras
Thailand;Jagung
Thailand;Karet
Thailand;Kelapa
Thailand;Tembakau
Thailand;Tebu
Filipina;Tebu
Filipina;Beras
Filipina;Kelapa
Filipina;Pisang
Filipina;Jagung
Filipina;Kopi
Filipina;Nanas
Brunei Darussalam;Karet
Brunei Darussalam;Kelapa
Vietnam;Beras
Vietnam;Jagung
Vietnam;Ubi Jalar
Vietnam;Singkong
Laos;Beras
Laos;Jagung
Laos;Tembakau
Laos;Kapas
Laos;Kopi
Laos;Jeruk
Myanmar;Beras
Myanmar;Jagung
Timor Leste;Vanilli
Timor Leste;Kelapa
Timor Leste;Kopi
Timor Leste;Cengkih
Timor Leste;Porang
